price,bd&ba,sqft,address
"689,000","3bd,3ba","2,235","7368 Flowerwood Way,, ,Sacramento, CA 95831"
"625,000","4bd,3ba","2,299","3707 Iskenderun Ave,, ,Sacramento, CA 95834"
"224,500","1bd,1ba",667,"4200 E Commerce Way #1113,, ,Sacramento, CA 95834"
"340,000","3bd,2ba","1,084","6 Ashley Oaks Ct,, ,Sacramento, CA 95815"
"399,000","3bd,2ba","1,394","7970 Bastien Ct,, ,Sacramento, CA 95828"
"180,000","2bd,1ba",840,"49 La Fresa Ct #3,, ,Sacramento, CA 95823"
"409,900","3bd,1ba","1,018","7230 25th Ave,, ,Sacramento, CA 95820"
"545,000","3bd,2ba","2,013","5538 Elkhart St,, ,Sacramento, CA 95835"
"291,000","1bd,2ba","1,125","4800 Westlake Pkwy #1506,, ,Sacramento, CA 95835"
"890,000","5bd,3ba","3,420 (on 0.50 acres)","3010 Dorlaine Ct,, ,Sacramento, CA 95821"
"399,900","3bd,1ba","1,149 (on 0.25 acres)","3654 Edison Ave,, ,Sacramento, CA 95821"
"459,000","2bd,1ba","1,324","3735 4th Ave,, ,Sacramento, CA 95817"
"499,000","3bd,2ba","1,716","8412 Bernardo Ct,, ,Sacramento, CA 95828"
"549,900","3bd,3ba","1,584","3759 Douglas Fir Ct,, ,Antelope, CA 95843"
"575,000","4bd,3ba","2,219","23 Sabre Ct,, ,Sacramento, CA 95835"
"399,000","4bd,2ba","1,184","3736 Moonbeam Dr,, ,Sacramento, CA 95827"
"59,900","2bd,2ba","1,440","4900 Arbor Dr #18,, ,Sacramento, CA 95834"
"499,900","3bd,3ba","1,697","4948 Madamin Way,, ,Sacramento, CA 95835"
"555,000","4bd,3ba","2,090","3349 Myna Way,, ,Sacramento, CA 95834"
"550,000",Studio,"3,180","715 Dixieanne Ave,, ,Sacramento, CA 95815"
"429,000","3bd,2ba","1,160","8100 Cardale Way,, ,Sacramento, CA 95829"
"565,000",2bd,"2,030","4700 Large Oak Ct,, ,Sacramento, CA 95841"
"589,000","3bd,1ba","1,000","1001 Fremont Way,, ,Sacramento, CA 95818"
"1,295,000","5bd,5ba","3,651","2612 American River Dr,, ,Sacramento, CA 95864"
"597,000",2bd,"2,442","2700 Matheson Way,, ,Sacramento, CA 95864"
"599,900","3bd,3ba","1,645 (on 0.25 acres)","3233 Windsor Dr,, ,Sacramento, CA 95864"
"620,000","2bd,2ba","2,195","2536 Aspen Valley Ln,, ,Sacramento, CA 95835"
"455,500","4bd,2ba","1,838 (on 0.25 acres)","2620 Granite Way,, ,Sacramento, CA 95821"
"359,900","2bd,2ba","1,193","1900 Danbrook Dr #316,, ,Sacramento, CA 95835"
"599,000","4bd,2ba","1,984","430 Windward Way,, ,Sacramento, CA 95831"
"620,000","4bd,2ba","2,097","2 Olivia Pl,, ,Sacramento, CA 95835"
"515,000","4bd,2ba","1,887","3213 Oriole Way,, ,Antelope, CA 95843"
"779,900","3bd,2ba","1,388","57 Taylor Way,, ,Sacramento, CA 95819"
"555,000","3bd,2ba","1,722","5325 Kankakee Dr,, ,Sacramento, CA 95835"
"399,000",Studio,"1,623 (on 0.75 acres)","5653 Martin Luther King Jr Blvd,, ,Sacramento, CA 95824"
"599,000","3bd,2ba","1,144 (on 0.75 acres)","5001 Dry Creek Rd,, ,Sacramento, CA 95838"
"575,000","3bd,2ba","1,471","4513 Juno Way,, ,Sacramento, CA 95864"
"500,000","3bd,3ba","1,762","1835 Silver Almond Ln,, ,Sacramento, CA 95834"
"720,000","3bd,2ba","2,225 (on 0.25 acres)","5326 Constellation Way,, ,Sacramento, CA 95841"
"434,900+","2bd,3ba","1,229","Wickford Square,, ,Sacramento, CA 95823"
"1,156,641+","4bd,3ba","2,202","Sutter Park,, ,Sacramento, CA 95819"
